restaurant_id,restaurant_name,city,cuisine,restaurant_rating,avg_prep_time,price_range
R00396,Chada Inc,Mumbai,South Indian,5.0,22,Low
R00397,Char-Pradhan,Hyderabad,Italian,3.52,36,Medium
R00398,Bhasin PLC,Pune,Fast Food,3.66,42,Medium
R00399,"Narayan, Das and Roy",Ahmedabad,Italian,3.73,28,High
R00400,Sampath-Behl,Chennai,Healthy,4.15,34,Medium
R00401,Muni-Pandey,Pune,Mexican,3.93,15,Medium
R00402,Tripathi and Sons,Ahmedabad,Desserts,3.74,42,Low
R00403,Subramaniam and Sons,Bangalore,Mexican,4.29,34,Low
R00404,Palla PLC,Mumbai,Chinese,4.19,32,Medium
R00405,Contractor-Mallick,Bangalore,Desserts,4.61,58,Medium
R00406,"Kara, Sanghvi and Bal",Mumbai,Healthy,4.07,26,Medium
R00407,"Loke, Balakrishnan and Gole",Jaipur,Fast Food,3.98,30,Low
R00408,More-Nori,Pune,Mexican,3.78,52,Medium
R00409,Ahuja-Golla,Pune,South Indian,4.12,29,Low
R00410,Rattan Inc,Delhi,South Indian,3.48,21,Medium
R00411,Balasubramanian Inc,Hyderabad,Chinese,4.54,22,Low
R00412,"Wali, Kale and Puri",Chennai,Desserts,4.31,27,High
R00413,Setty-Om,Jaipur,South Indian,4.11,31,Low
R00414,Pingle LLC,Jaipur,Biryani,3.8,33,High
R00415,"Nair, Chad and Ben",Kolkata,Chinese,4.82,42,High
R00416,Dugar PLC,Chennai,Healthy,3.73,12,Medium
R00417,Bumb LLC,Mumbai,Indian,3.57,26,High
R00418,Samra-Sunder,Ahmedabad,North Indian,3.85,48,Low
R00419,"Sathe, Sachdeva and Mahajan",Kochi,Mexican,4.41,41,Medium
R00420,Vala Inc,Pune,North Indian,4.72,26,Medium
R00421,Sani-Choudhry,Delhi,Biryani,4.53,57,Low
R00422,Sur-Vyas,Kochi,Indian,3.35,53,Medium
R00423,"Morar, Bath and Kannan",Chennai,Biryani,3.97,34,Medium
R00424,Bhakta-Amble,Bangalore,Mexican,3.76,17,Medium
R00425,Mitra and Sons,Bangalore,Indian,4.2,52,High
R00426,Kumer LLC,Bangalore,Healthy,3.85,44,Medium
R00427,Dar-Amble,Pune,Chinese,4.39,38,Low
R00428,Sani-Gill,Mumbai,Desserts,3.77,21,High
R00429,Rai PLC,Jaipur,Indian,3.58,45,Low
R00430,"Karpe, Tella and Pandya",Jaipur,Healthy,4.65,18,High
R00431,Ranganathan Ltd,Hyderabad,Mexican,3.98,35,High
R00432,Sarin Inc,Pune,Fast Food,4.44,31,High
R00433,Brahmbhatt-Munshi,Pune,Biryani,3.42,40,Medium
R00434,"Sanghvi, Ravel and Sahni",Kochi,Healthy,3.52,58,Medium
R00435,Contractor-Ravel,Kochi,North Indian,3.37,57,Medium
R00436,Nair and Sons,Bangalore,Chinese,3.61,53,Medium
R00437,"Sharma, Pathak and Chakrabarti",Jaipur,Mexican,3.66,39,Low
R00438,Cherian-Kohli,Mumbai,Mexican,3.62,24,Low
R00439,Rattan-Viswanathan,Pune,Indian,3.98,56,Medium
R00440,Randhawa LLC,Kochi,Fast Food,3.5,42,Medium
R00441,"Nori, Kant and Nath",Ahmedabad,Italian,3.62,12,Medium
R00442,Bose PLC,Bangalore,Mexican,4.11,43,Medium
R00443,"Comar, Wali and Uppal",Ahmedabad,Chinese,4.98,26,Medium
R00444,Palla LLC,Pune,Healthy,4.24,53,Medium
R00445,"Divan, Keer and Chauhan",Bangalore,Biryani,4.19,14,Low
R00446,Kunda and Sons,Jaipur,Biryani,3.87,39,Medium
R00447,Dua Ltd,Jaipur,Italian,3.01,52,Low
R00448,Goel Ltd,Kochi,Fast Food,3.9,60,Medium
R00449,Shetty-Sen,Ahmedabad,Indian,3.49,24,Low
R00450,"Naidu, Mutti and Dora",Kolkata,Chinese,4.51,48,Medium
R00451,Bir-Singh,Bangalore,Indian,4.79,17,Low
R00452,Mitter-Maharaj,Bangalore,South Indian,3.55,51,Low
R00453,"Bhalla, Pandey and Tripathi",Ahmedabad,Mexican,3.99,47,Medium
R00454,Mukherjee Group,Kochi,Healthy,3.32,37,Low
R00455,Barad-Bhandari,Ahmedabad,Indian,4.41,30,Medium
R00456,Mangat-Bose,Bangalore,North Indian,4.62,56,High
R00457,"Chana, Tripathi and Rajagopalan",Ahmedabad,Desserts,4.28,19,Medium
R00458,Barman-Sengupta,Ahmedabad,Biryani,4.16,37,Medium
R00459,"Guha, Nagy and Soni",Kochi,North Indian,3.98,30,Medium
R00460,"Dora, Bhatia and Seshadri",Kochi,Mexican,4.25,58,Low
R00461,Oza Ltd,Hyderabad,Mexican,3.86,37,Medium
R00462,Thaman Ltd,Bangalore,Mexican,3.81,31,Low
R00463,Baral and Sons,Hyderabad,Biryani,4.63,47,Low
R00464,"Sarma, Sarna and Viswanathan",Ahmedabad,Fast Food,4.39,28,Low
R00465,"Dutt, Patla and Pradhan",Ahmedabad,Mexican,3.71,47,Medium
R00466,Ram-Rege,Kolkata,North Indian,4.9,55,Medium
R00467,Ben-Natt,Chennai,Desserts,3.65,33,High
R00468,Narayan Inc,Delhi,South Indian,4.97,37,Medium
R00469,"Raju, Mander and Krishnan",Kochi,Mexican,3.35,54,Medium
R00470,"Doctor, Nath and Bumb",Ahmedabad,Biryani,3.93,22,Medium
R00471,"Dhaliwal, Palla and Mukherjee",Hyderabad,Fast Food,4.23,18,Medium
R00472,"Ramanathan, Dayal and Chad",Pune,Mexican,4.17,18,Low
R00473,Puri-Narasimhan,Chennai,Mexican,4.09,30,Low
R00474,Vyas Inc,Ahmedabad,North Indian,4.64,33,Medium
R00475,"Sampath, Trivedi and Pathak",Jaipur,South Indian,4.22,40,Medium
R00476,Patil LLC,Bangalore,Indian,4.26,38,Medium
R00477,Kala LLC,Mumbai,Desserts,3.7,49,Medium
R00478,Handa-Kara,Pune,Biryani,4.41,19,Low
R00479,Dubey Inc,Chennai,Healthy,3.78,13,Low
R00480,Chaudhuri-Tripathi,Pune,Chinese,4.57,12,High
R00481,"Vyas, Barad and Nayar",Kolkata,Biryani,4.72,22,Low
R00482,"Deep, Puri and Dube",Pune,Fast Food,4.04,30,Low
R00483,Golla Ltd,Kochi,South Indian,4.26,17,Medium
R00484,"Gandhi, Sarma and Bassi",Kochi,Fast Food,4.14,18,Medium
R00485,Patla-Khanna,Ahmedabad,Biryani,3.96,55,Medium
R00486,Mane-Sen,Delhi,Mexican,3.89,10,Medium
R00487,Walla and Sons,Hyderabad,Healthy,3.43,23,High
R00488,Singh-Hari,Chennai,Italian,3.67,21,Low
R00489,Sastry-Shenoy,Chennai,Chinese,4.05,45,Medium
R00490,Raja-Thakkar,Chennai,Desserts,4.72,31,Medium
R00491,"Sahota, Edwin and Iyengar",Kochi,Indian,4.17,45,Low
R00492,"Devi, Krishna and Ben",Delhi,Healthy,4.57,54,Medium
R00493,"Srivastava, Prabhu and Chauhan",Kochi,Chinese,3.13,25,Medium
R00494,"Varty, Dash and Mane",Mumbai,South Indian,4.68,20,Medium
R00495,Dyal LLC,Chennai,South Indian,4.33,12,High
R00496,Varghese-Din,Delhi,Indian,4.52,43,Medium
R00497,Chand-Kapadia,Kolkata,Fast Food,3.03,34,Medium
R00498,Palla-Bala,Delhi,Mexican,3.8,35,Medium
R00499,Bera-Randhawa,Ahmedabad,North Indian,3.48,12,Medium
R00500,"Prakash, Keer and Raju",Pune,Healthy,4.36,29,Medium
